year,tot_current_per_adm,tot_instruction_per_adm,tot_prof_alg,tot_prof_bio,tot_prof_eng
2014-15,13821.25,9241.61,64.68,58.95,72.79
2015-16,14409.46,9654.92,68.2,65.8,76.8
2016-17,15119.48,10147.02,65.6,63.4,72.7
2017-18,15710.07,10577.68,65.2,64.4,72.7
2018-19,16286.14,10947.9,63.3,63.2,71.5
2019-20,16591.08,11243.22,NA,NA,NA
2020-21,17395.73,11888.75,62.4,67.6,49.6
2021-22,18383.17,12383.33,63.9,41.9,64.9
2022-23,19148.53,12814.22,34.2,50.7,65.3
2023-24,20191.52,13473.47,41.6,50.5,63.2
