district,county,current_per_adm,instruction_per_adm,prof_alg,prof_bio,prof_eng,prof_alg_dis,prof_alg_black
Bermudian Springs SD,Adams,16947.96,10187.75,32.7,44.9,58.1,19.6,NA
Conewago Valley SD,Adams,17880.17,12789.73,43.8,48.3,58.5,37,NA
Fairfield Area SD,Adams,21400.38,11768.07,31.4,40.9,64.7,27.3,NA
Gettysburg Area SD,Adams,20665.6,13265.99,51.9,61.5,69.3,39,14.3
Littlestown Area SD,Adams,18152.83,12252.05,61.7,72.7,66.4,45.8,NA
Upper Adams SD,Adams,18791.11,12565.83,51.9,64.3,69,44.4,NA
Allegheny Valley SD,Allegheny,23573.75,13918.14,32,57.8,67.2,28,NA
Avonworth SD,Allegheny,17356.86,11301.18,64.8,66.2,82.2,31.8,NA
Baldwin-Whitehall SD,Allegheny,16853.44,10119.73,44.8,59.2,63.1,38.5,18.8
Bethel Park SD,Allegheny,21836.89,15007.07,45.5,66.3,78.6,28.4,NA
Brentwood Borough SD,Allegheny,21594.66,14901.54,23.7,48.8,58.5,16.3,18.2
Carlynton SD,Allegheny,23702.28,15418.82,43.6,65.4,76.4,35.7,NA
Chartiers Valley SD,Allegheny,19732.31,13305.53,19.3,63.8,57.4,16.2,NA
Clairton City SD,Allegheny,20798.38,12835.67,11.1,21.6,59.5,11.8,10.3
Cornell SD,Allegheny,27634.71,17541.08,12.5,31.7,42.5,12.5,NA
Deer Lakes SD,Allegheny,21416.9,13733.09,48.2,42,74.4,36.6,NA
Duquesne City SD,Allegheny,24272.33,16539.91,NA,NA,NA,NA,NA
East Allegheny SD,Allegheny,23557.31,15637.76,15.3,20,32.4,12.2,5.9
Elizabeth Forward SD,Allegheny,19775.11,11969.2,57.3,55.6,66.8,42.4,NA
Fox Chapel Area SD,Allegheny,24862.53,16321.19,86.3,89.3,90,77.8,NA
Gateway SD,Allegheny,24487.28,15065.89,40.8,57,71,33,17.4
Hampton Township SD,Allegheny,21400.41,13498.1,75.6,83.4,92.9,62.1,NA
Highlands SD,Allegheny,21493.85,13952.5,36.2,42.9,57.5,30,NA
Keystone Oaks SD,Allegheny,23581.32,14730.14,52.2,56.9,78.9,46.6,NA
McKeesport Area SD,Allegheny,18978.26,13457.07,10.5,28.4,40.8,6.6,7.5
Montour SD,Allegheny,21019.47,13404.13,54.5,58.6,78,35.4,18.8
Moon Area SD,Allegheny,18948.46,12824.81,62.4,63.6,72.4,50.9,30.8
Mt Lebanon SD,Allegheny,19213.99,12902.38,83.1,86.3,92.5,69.4,NA
North Allegheny SD,Allegheny,20168.32,13002.37,69.6,81,88.6,52.7,NA
North Hills SD,Allegheny,18409.41,12802.9,30.4,54,75.8,25,NA
Northgate SD,Allegheny,24567.26,15463.59,27.1,35.3,42,12.5,0
Penn Hills SD,Allegheny,21445.85,14618.06,3.9,21.9,27.2,5.1,2.8
Pine-Richland SD,Allegheny,19452.9,12834.47,75.9,86.5,93.7,56.8,NA
Pittsburgh SD,Allegheny,30385.12,20443.66,26.4,35.1,56.8,17,9.3
Plum Borough SD,Allegheny,16649.93,10686.37,41.1,46,63.7,29.1,22.2
Quaker Valley SD,Allegheny,26365.11,15782.16,73.1,75.9,78.5,41.9,NA
